START DATE,END DATE,SUBJECT,START TIME (PT),START TIME (MT),START TIME (CT),START TIME (ET),END TIME (PT),END TIME (MT),END TIME (CT),END TIME (ET),SHOW TIME AS,DESCRIPTION,,,,AWAY,HOM E
3/10/2013,3/10/2013,NBA: Cavaliers @ Raptors     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Cavaliers @ Raptors,Cleveland at Toronto,,Cavaliers , Raptors
11/25/2012,11/25/2012,NBA: Celtics @ Magic     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Celtics @ Magic,Boston at Orlando,,Celtics , Magic
4/7/2013,4/7/2013,NBA: Grizzlies @ Kings     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Grizzlies @ Kings,Memphis at Sacramento,,Grizzlies , Kings
3/3/2013,3/3/2013,NBA: Grizzlies @ Magic     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Grizzlies @ Magic,Memphis at Orlando,,Grizzlies , Magic
10/14/2012,10/14/2012,NBA: Hawks @ Grizzlies     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Hawks @ Grizzlies,Atlanta at Memphis,,Hawks , Grizzlies
1/27/2013,1/27/2013,NBA: Hornets @ Grizzlies     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Hornets @ Grizzlies,New Orleans at Memphis,,Hornets , Grizzlies
2/10/2013,2/10/2013,NBA: Hornets @ Raptors     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Hornets @ Raptors,New Orleans at Toronto,,Hornets , Raptors
12/23/2012,12/23/2012,NBA: Jazz @ Magic     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Jazz @ Magic,Utah at Orlando,,Jazz , Magic
2/24/2013,2/24/2013,NBA: Kings @ Hornets     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Kings @ Hornets,Sacramento at New Orleans,,Kings , Hornets
12/16/2012,12/16/2012,NBA: Lakers @ 76ers     ,3:00 PM,4:00 PM,5:00 PM,6:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,FREE,www.MySportsCal.com,Lakers @ 76ers,LA Lakers at Philadelphia,,Lakers , 76ers
